tract,name,streetrepairs,yearblt,vacant
24510010100,Census Tract 101,656,1915,9
24510010200,Census Tract 102,409,1906,5
24510010300,Census Tract 103,628,1920,4
24510010400,Census Tract 104,635,1920,3
24510010500,Census Tract 105,284,1915,4
24510020100,Census Tract 201,445,1900,4
24510020200,Census Tract 202,280,1900,13
24510020300,Census Tract 203,1150,1920,14
24510030100,Census Tract 301,377,1920,16
24510030200,Census Tract 302,789,2004,11
24510040100,Census Tract 401,2531,1957,53
24510040200,Census Tract 402,394,1905,3
24510060100,Census Tract 601,378,1920,37
24510060200,Census Tract 602,341,1910,59
24510060300,Census Tract 603,300,1915,35
24510060400,Census Tract 604,616,1920,16
24510070100,Census Tract 701,518,1915,169
24510070200,Census Tract 702,492,1920,321
24510070300,Census Tract 703,444,1920,118
24510070400,Census Tract 704,591,1920,23
24510080101,Census Tract 801.01,971,1927,30
24510080102,Census Tract 801.02,448,1925,110
24510080200,Census Tract 802,691,1920,331
24510080301,Census Tract 803.01,227,1915,298
24510080302,Census Tract 803.02,271,1942,51
24510080400,Census Tract 804,264,1915,260
24510080500,Census Tract 805,354,1920,162
24510080600,Census Tract 806,488,1913,484
24510080700,Census Tract 807,301,1914,213
24510080800,Census Tract 808,240,1920,64
24510090100,Census Tract 901,756,1939,40
24510090200,Census Tract 902,872,1941,8
24510090300,Census Tract 903,760,1927,29
24510090400,Census Tract 904,308,1920,60
24510090500,Census Tract 905,481,1924,27
24510090600,Census Tract 906,515,1922,134
24510090700,Census Tract 907,420,1930,267
24510090800,Census Tract 908,1335,1920,399
24510090900,Census Tract 909,593,1920,259
24510100100,Census Tract 1001,475,1920,197
24510100200,Census Tract 1002,294,1982,11
24510100300,Census Tract 1003,181,1946,0
24510110100,Census Tract 1101,558,1900,3
24510110200,Census Tract 1102,1290,1941,5
24510120100,Census Tract 1201,1114,1923,2
24510120201,Census Tract 1202.01,450,1915,19
24510120202,Census Tract 1202.02,675,1927,3
24510120300,Census Tract 1203,606,1900,59
24510120400,Census Tract 1204,365,1920,58
24510120500,Census Tract 1205,469,1917,30
24510120600,Census Tract 1206,808,1900,17
24510120700,Census Tract 1207,868,1920,14
24510130100,Census Tract 1301,350,1917,36
24510130200,Census Tract 1302,323,1905,26
24510130300,Census Tract 1303,304,1907,271
24510130400,Census Tract 1304,772,1920,142
24510130600,Census Tract 1306,862,1900,7
24510130700,Census Tract 1307,1124,1920,15
24510130803,Census Tract 1308.03,790,1950,0
24510130804,Census Tract 1308.04,635,1920,5
24510130805,Census Tract 1308.05,568,1995,0
24510130806,Census Tract 1308.06,570,1926,5
24510140100,Census Tract 1401,562,1900,4
24510140200,Census Tract 1402,379,1920,132
24510140300,Census Tract 1403,323,1920,233
24510150100,Census Tract 1501,372,1920,157
